t,T_in,u,T_out
161.000000,39.700000,0.500000,28.830000
162.000000,39.700000,0.500000,28.830000
163.000000,39.220000,0.500000,29.320000
164.000000,39.700000,0.500000,28.830000
165.000000,39.220000,0.500000,29.320000
166.000000,39.220000,0.500000,29.320000
167.000000,39.700000,0.500000,28.830000
168.000000,39.700000,0.500000,29.320000
169.000000,39.700000,0.500000,29.320000
170.000000,39.700000,0.500000,29.320000
171.000000,39.700000,0.500000,29.320000
172.000000,39.700000,0.500000,29.320000
173.000000,39.220000,0.500000,29.320000
174.000000,39.220000,0.500000,29.320000
175.000000,39.220000,0.500000,29.320000
176.000000,39.220000,0.500000,28.830000
177.000000,39.220000,0.500000,28.830000
178.000000,39.220000,0.500000,28.830000
179.000000,39.220000,0.500000,28.830000
180.000000,39.220000,0.500000,28.830000
181.000000,39.700000,0.500000,28.830000
182.000000,39.700000,0.500000,28.830000
183.000000,39.700000,0.500000,28.830000
184.000000,39.700000,0.500000,28.830000
185.000000,39.700000,0.500000,29.320000
186.000000,39.700000,0.500000,29.320000
187.000000,39.700000,0.500000,29.320000
188.000000,39.700000,0.500000,29.320000
189.000000,39.700000,0.500000,29.320000
190.000000,39.700000,0.500000,28.830000
191.000000,39.700000,0.500000,28.830000
192.000000,39.700000,0.500000,28.830000
193.000000,39.700000,0.500000,29.320000
194.000000,39.700000,0.500000,29.320000
195.000000,39.700000,0.500000,29.320000
196.000000,39.700000,0.500000,29.320000
197.000000,39.700000,0.500000,29.320000
198.000000,39.700000,0.500000,29.320000
199.000000,39.700000,0.500000,29.320000
200.000000,39.700000,0.500000,29.320000
201.000000,39.700000,0.500000,29.320000
202.000000,39.700000,0.500000,29.320000
203.000000,39.700000,0.500000,29.320000
204.000000,39.700000,0.500000,29.320000
205.000000,39.700000,0.500000,29.320000
206.000000,39.700000,0.500000,29.320000
207.000000,39.700000,0.500000,28.830000
208.000000,39.700000,0.500000,28.830000
209.000000,39.700000,0.500000,28.830000
210.000000,39.700000,0.500000,28.830000
211.000000,39.700000,0.500000,28.830000
212.000000,39.700000,0.500000,28.830000
213.000000,39.700000,0.500000,28.830000
214.000000,39.700000,0.500000,28.830000
215.000000,39.220000,0.500000,28.830000
216.000000,39.700000,0.500000,28.830000
217.000000,39.700000,0.500000,28.830000
218.000000,39.700000,0.500000,28.830000
219.000000,39.700000,0.500000,28.830000
220.000000,39.700000,0.500000,29.320000
221.000000,39.700000,0.500000,28.830000
222.000000,39.700000,0.500000,29.320000
223.000000,39.700000,0.500000,29.320000
224.000000,39.700000,0.500000,29.320000
225.000000,39.700000,0.500000,29.320000
226.000000,39.700000,0.500000,29.320000
227.000000,39.700000,0.500000,29.320000
228.000000,39.700000,0.500000,29.320000
229.000000,39.700000,0.500000,29.320000
230.000000,39.700000,0.500000,29.320000
231.000000,39.700000,0.500000,29.320000
232.000000,39.700000,0.500000,29.320000
233.000000,39.700000,0.500000,29.320000
234.000000,39.700000,0.500000,29.320000
235.000000,39.700000,0.500000,29.320000
236.000000,39.700000,0.500000,29.320000
237.000000,39.700000,0.500000,29.320000
238.000000,39.700000,0.500000,29.320000
239.000000,39.700000,0.500000,29.320000
240.000000,39.700000,0.500000,29.320000
241.000000,39.700000,0.500000,29.320000
242.000000,39.700000,0.500000,29.320000
243.000000,39.700000,0.500000,29.320000
244.000000,39.700000,0.500000,29.320000
245.000000,39.700000,0.500000,29.320000
246.000000,40.190000,0.500000,29.320000
247.000000,39.700000,0.500000,29.320000
248.000000,39.700000,0.500000,29.320000
249.000000,39.700000,0.500000,29.320000
250.000000,39.700000,0.500000,29.320000
251.000000,39.700000,0.500000,29.320000
252.000000,39.700000,0.500000,29.320000
253.000000,39.700000,0.500000,29.320000
254.000000,39.700000,0.500000,29.320000
255.000000,39.700000,0.500000,29.320000
256.000000,39.700000,0.500000,29.320000
257.000000,39.700000,0.500000,29.320000
258.000000,39.700000,0.500000,29.320000
259.000000,40.190000,0.500000,29.320000
260.000000,40.190000,0.500000,29.320000
261.000000,40.190000,0.500000,29.320000
262.000000,40.190000,0.500000,29.320000
263.000000,39.700000,0.500000,29.320000
264.000000,39.700000,0.500000,29.320000
265.000000,39.700000,0.500000,29.320000
266.000000,39.700000,0.500000,29.320000
267.000000,39.700000,0.500000,29.320000
268.000000,39.700000,0.500000,29.320000
269.000000,39.700000,0.500000,29.320000
270.000000,39.700000,0.500000,29.320000
271.000000,40.190000,0.500000,29.320000
272.000000,39.700000,0.500000,29.320000
273.000000,40.190000,0.500000,29.320000
274.000000,39.700000,0.500000,29.320000
275.000000,40.190000,0.500000,29.320000
276.000000,39.700000,0.500000,29.320000
277.000000,39.700000,0.500000,29.320000
278.000000,39.700000,0.500000,29.320000
279.000000,39.700000,0.500000,29.320000
280.000000,39.700000,0.500000,29.320000
281.000000,39.700000,0.500000,29.320000
282.000000,39.700000,0.500000,29.320000
283.000000,39.700000,0.500000,29.320000
284.000000,39.700000,0.500000,29.320000
285.000000,40.190000,0.500000,29.320000
286.000000,39.700000,0.500000,29.320000
287.000000,39.700000,0.500000,29.320000
288.000000,40.190000,0.500000,29.320000
289.000000,40.190000,0.500000,29.320000
290.000000,40.190000,0.500000,29.320000
291.000000,39.700000,0.500000,29.320000
